time,GPS1,GPS2,A,B,C
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:55,49.7436316666667,13.3690766666667,255,200,85
9:58:55,49.7436316666667,13.3690766666667,255,200,85
9:58:55,49.7436316666667,13.3690766666667,255,200,85
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.7436316666667,13.3690766666667,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,81
9:58:55,49.74355,13.3690733333333,255,200,77
9:58:55,49.74355,13.3690733333333,255,200,87
9:58:55,49.74355,13.3690733333333,255,200,87
9:58:55,49.74355,13.3690733333333,255,200,87
9:58:55,49.74355,13.3690733333333,255,200,77
9:58:56,49.74355,13.3690733333333,255,200,77
9:58:56,49.74355,13.3690733333333,255,200,77
9:58:56,49.74355,13.3690733333333,255,200,77
9:58:56,49.74355,13.3690733333333,255,200,77
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,75
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.74355,13.3690733333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:56,49.7435033333333,13.3690783333333,255,200,91
9:58:57,49.7435033333333,13.3690783333333,255,200,91
9:58:57,49.7435033333333,13.3690783333333,255,200,91
9:58:57,49.7435033333333,13.3690783333333,255,200,91
9:58:57,49.7435033333333,13.3690783333333,255,200,91
9:58:57,49.7435033333333,13.3690783333333,255,200,91
